id,name,parent_id/id,property_account_expense_categ/id,property_account_income_categ/id
cwa_module.cbl_1430515,VLEES / TOEBEREID VLEES,cwa_module.cbl_14305,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1430520,VEGETARISCHE VLEESVERVANGERS,cwa_module.cbl_14305,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1431005,SATEH,cwa_module.cbl_14310,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1431015,"HAMBURGERS, FRIKADELLEN",cwa_module.cbl_14310,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1431020,"KROKETTEN, BITTERBALLEN",cwa_module.cbl_14310,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1431025,GEVOGELTE SNACKS,cwa_module.cbl_14310,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1431030,DIEPVRIES OVERIGE SNACKS / SPECIALITEITEN,cwa_module.cbl_14310,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1510505,VLEESWARENCONSERVEN,cwa_module.cbl_15105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1520505,LEVERPRODUCTEN SNIJVERS,cwa_module.cbl_15205,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1520510,PATE'S SNIJVERS,cwa_module.cbl_15205,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1520515,HAM SNIJVERS,cwa_module.cbl_15205,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1520520,ROOKVLEES EN ROSBIEF SNIJVERS,cwa_module.cbl_15205,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1520525,"RIBSOORT SNIJVERS, SPEKSOORT SNIJVERS",cwa_module.cbl_15205,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1520530,"KIPPRODUCTEN SNIJVERS, KALKOENPRODUCTEN SNIJVERS",cwa_module.cbl_15205,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1520535,DROGE EN GEKOOKTE WORST SNIJVERS,cwa_module.cbl_15205,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1520540,VEGETARISCHE VLEESWAREN SNIJVERS,cwa_module.cbl_15205,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1521005,VERPAKTE LEVERPRODUCTEN,cwa_module.cbl_15210,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1521015,VERPAKTE HAM,cwa_module.cbl_15210,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1521020,VERPAKTE ROOKVLEES/ROSBIEF,cwa_module.cbl_15210,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1521025,VERPAKTE RIBSOORTEN EN SPEKSOORTEN,cwa_module.cbl_15210,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1521030,VERPAKTE KIPPRODUCTEN EN KALKOENPRODUCTEN,cwa_module.cbl_15210,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1521035,VERPAKTE DROGE EN GEKOOKTE WORST,cwa_module.cbl_15210,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1521040,VERPAKTE VEGETARISCHE VLEESWAREN ,cwa_module.cbl_15210,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1521505,LEVERWORST,cwa_module.cbl_15215,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1521510,THEEWORST,cwa_module.cbl_15215,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1521515,DROGE EN GEKOOKTE WORST,cwa_module.cbl_15215,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1521520,ZURE ZULT,cwa_module.cbl_15215,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1521525,BORRELHAPJES,cwa_module.cbl_15215,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1521530,FILET AMERICAIN,cwa_module.cbl_15215,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1521535,PATE,cwa_module.cbl_15215,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1522005,SCHEPSALADES LOS,cwa_module.cbl_15220,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1522010,VERPAKTE SALADES,cwa_module.cbl_15220,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1522015,SAUZEN LOS,cwa_module.cbl_15220,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1522020,SAUZEN VERPAKT,cwa_module.cbl_15220,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1610505,"VIS, SCHAAL- EN SCHELPDIEREN IN BLIK",cwa_module.cbl_16105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1610510,VISPRODUCTEN IN TUBE,cwa_module.cbl_16105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1610515,"VIS, SCHAAL- EN SCHELPDIEREN IN GLAS",cwa_module.cbl_16105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1620505,"VERSE VIS, ONBEWERKT, GEFILEERD, GEROOKT, GEDROOGD",cwa_module.cbl_16205,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1620510,GEBAKKEN / GEFRITUURDE VIS,cwa_module.cbl_16205,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1620515,MAATJESHARING,cwa_module.cbl_16205,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1621005,SCHAAL- EN SCHELPDIEREN,cwa_module.cbl_16210,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1621505,VERPAKTE VIS NIET IN GLAS,cwa_module.cbl_16215,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1621510,OVERIGE VIS IN GLAS,cwa_module.cbl_16215,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1621515,HARING IN GLAS OF EMMER,cwa_module.cbl_16215,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1622005,VERPAKTE SCHAAL- EN SCHELPDIEREN,cwa_module.cbl_16220,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1630505,VIS NATUREL / TOEBEREID,cwa_module.cbl_16305,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1630510,GECOATE VIS,cwa_module.cbl_16305,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1630515,DIEPVRIES MAATJESHARNG,cwa_module.cbl_16305,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1631005,SCHAAL EN SCHELPDIEREN,cwa_module.cbl_16310,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1710505,ROGGEBROOD,cwa_module.cbl_17105,"voedselcoop_7306","voedselcoop_8006"
